ID,Brand,Country,Ad,First.Run,URL,Launch/Pre,ABX.ID,Campaign.Flight.1,Campaign.Flight.2,Campaign.Flight.3,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand,Clear.Brand,Message.Delivery,Clear,Understood,Reputation,Relevant,See.Again,Like,Dislike,Purchase,Recommend,Branding.Correct.Recall
27,Amazon Corporate,United Kingdom,Operations supervisor Kev,2020-06-16,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-HTZMli7Hpqzwm3zeeuXfLdqHmZ8jnbXnBDbq9XE%3D-BFx9fXdIZVi%2FZFsoY5DTnQ%3D%3D,Launch,8032997,UK_this is amazon_2020Q3,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.92 ,0.72 ,0.75 ,0.82 ,0.41 ,0.66 ,0.57 ,0.47 ,0.08 ,0.12 ,0.10 ,0.39 
29,Amazon Corporate,United Kingdom,Associate Melvin,2020-07-06,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-MG5vQQY3livJvP26zbKO%2B2BHLEY46H1SUOFcvn4%3D-u4kk3c8xXEXCSZlqdlRGbQ%3D%3D,Launch,8153784,UK_this is amazon_2020Q3,,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0.85 ,0.52 ,0.57 ,0.72 ,0.34 ,0.62 ,0.52 ,0.38 ,0.07 ,0.14 ,0.06 ,0.30 
33,Amazon Corporate,United Kingdom,Associate Melvin,2020-07-15,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-GnQpc24yw29kgHPmWNDcOvNUv%2BWej%2B2sEhbUjXc%3D-igf31ZNd2ApkZQWHjrjZtA%3D%3D,Launch,8153784,UK_this is amazon_2020Q3,,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,5,1,1,0,0,1,0,0,0,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.85 ,0.52 ,0.57 ,0.72 ,0.34 ,0.62 ,0.52 ,0.38 ,0.07 ,0.14 ,0.06 ,0.30 
32,Amazon Prime,United Kingdom,Prime Secret Pleasures UK 30,2020-07-06,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-AdRzstD9Ias9d0Df6LWKTl%2BscgmyT4IWx7CSb4A%3D-UwVbWDoL47W3nHWd%2Bu%2FRhA%3D%3D,Launch,8158961,UK EP Joy Delivered Q3'20,,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,1,4,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.95 ,0.68 ,0.74 ,0.77 ,0.28 ,0.63 ,0.63 ,0.46 ,0.07 ,0.19 ,0.13 ,0.58 
31,Amazon Prime,Germany,Prime Secret Pleasures DE 30,2020-07-06,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-tnK%2BhKCtXyYIvu%2B3S30Kt6L%2B8Kaa1QqqXyjMHgw%3D-kB%2BTBq190EF%2FH8%2BIsQKmmw%3D%3D,Launch,8158963,DE EP Joy Delivered Q3'20,,,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0.93 ,0.61 ,0.65 ,0.72 ,0.26 ,0.64 ,0.61 ,0.45 ,0.08 ,0.19 ,0.14 ,0.46 
36,Amazon Corporate,United Kingdom,Trainee Fati,2020-07-20,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-zbate7kJwOs3Ef3RFLe1UkFBoy9sBU3qklpGomk%3D-qSfTS51rj%2BYq%2FgK%2FmTrv8g%3D%3D,Launch,8212674,UK_this is amazon_2020Q3,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.91 ,0.56 ,0.64 ,0.68 ,0.26 ,0.57 ,0.48 ,0.41 ,0.05 ,0.11 ,0.14 ,0.41 
35,Amazon Alexa,United Kingdom,Amazon Alexa Music TV 30,2020-07-20,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-O4ucf2zO25PmGhjhJeS1tcwiOjs422kW%2FOFW36o%3D-4fUrx%2BAdkGgT%2F362NtTo5A%3D%3D,Launch,8221872,UK_UNLOCK_WORLD_WITH_VOICE_2020Q3,,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.84 ,0.52 ,0.58 ,0.71 ,0.20 ,0.50 ,0.47 ,0.36 ,0.21 ,0.16 ,0.08 ,0.40 
38,Amazon Corporate,Germany,Hatice 30 DE,2020-07-24,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-QBNac60AolMedTG%2BwB9rdeMitoP21c0VoAeWrhw%3D-TnCzIkcd3hyR94x0%2FMZZxQ%3D%3D,Launch,8240532,DE_this is amazon_2020Q3,,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0.95 ,0.56 ,0.58 ,0.73 ,0.30 ,0.52 ,0.52 ,0.42 ,0.08 ,0.18 ,0.13 ,0.25 
40,Amazon Corporate,Germany,Oliver 30 DE,2020-07-24,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-%2BuFHKu1VBc8ADNRgXV7mWTKGn5lvwMOV7Fofuo8%3D-6CayidSsiDV8ADJ4O8XX4Q%3D%3D,Launch,8240533,DE_this is amazon_2020Q3,,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0.92 ,0.60 ,0.62 ,0.75 ,0.38 ,0.61 ,0.60 ,0.53 ,0.06 ,0.18 ,0.15 ,0.30 
42,Amazon Corporate,Germany,Oliver 60 DE,2020-07-24,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-s7%2F1BEfZZilOTpo6w6TDaX%2BHx9iIPtUGW6UHgG0%3D-KIGMwDhsRDewrF081hSADw%3D%3D,Launch,8240534,DE_this is amazon_2020Q3,,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.95 ,0.54 ,0.57 ,0.78 ,0.50 ,0.62 ,0.61 ,0.53 ,0.04 ,0.16 ,0.20 ,0.35 
